UKPRN,HE Provider,Country of HE provider,Region of HE provider
10007783,The University of Aberdeen,Scotland,Scotland
10007849,University of Abertay Dundee,Scotland,Scotland
10007856,Aberystwyth University,Wales,Wales
10000163,AECC University College,England,South West
10000291,Anglia Ruskin University,England,East of England
10007759,Aston University,England,West Midlands
10007857,Bangor University,Wales,Wales
10000571,Bath Spa University,England,South West
10007850,The University of Bath,England,South West
10007152,University of Bedfordshire,England,East of England
10005343,Queen's University Belfast,Northern Ireland,Northern Ireland
10007760,Birkbeck College,England,London
10007140,Birmingham City University,England,West Midlands
10006840,The University of Birmingham,England,West Midlands
10000712,University College Birmingham,England,West Midlands
10007811,Bishop Grosseteste University,England,East Midlands
10006841,The University of Bolton,England,North West
10000385,The Arts University Bournemouth,England,South West
10000824,Bournemouth University,England,South West
10007785,The University of Bradford,England,Yorkshire and The Humber
10000886,The University of Brighton,England,South East
10000936,The University College of Osteopathy,England,London
10007786,The University of Bristol,England,South West
10000961,Brunel University London,England,London
10000975,Buckinghamshire New University,England,South East
10007787,The University of Buckingham,England,South East
10007788,The University of Cambridge,England,East of England
10003324,The Institute of Cancer Research,England,London
10001143,Canterbury Christ Church University,England,South East
10007814,Cardiff University,Wales,Wales
10007854,Cardiff Metropolitan University,Wales,Wales
10007141,The University of Central Lancashire,England,North West
10007848,University of Chester,England,North West
10007137,The University of Chichester,England,South East
10001478,"City, University of London",England,London
10001653,Conservatoire for Dance and Drama,England,London
10007761,Courtauld Institute of Art,England,London
10001726,Coventry University,England,West Midlands
10007822,Cranfield University,England,East of England
10006427,University for the Creative Arts,England,South East
10007842,University of Cumbria,England,North West
10001883,De Montfort University,England,East Midlands
10007851,University of Derby,England,East Midlands
10007852,The University of Dundee,Scotland,Scotland
10007143,University of Durham,England,North East
10007789,The University of East Anglia,England,East of England
10007144,The University of East London,England,London
10007823,Edge Hill University,England,North West
10007772,Edinburgh Napier University,Scotland,Scotland
10007790,The University of Edinburgh,Scotland,Scotland
10007791,The University of Essex,England,East of England
10007792,The University of Exeter,England,South West
10008640,Falmouth University,England,South West
10004511,The National Film and Television School,England,South East
10007762,Glasgow Caledonian University,Scotland,Scotland
10002681,Glasgow School of Art,Scotland,Scotland
10007794,The University of Glasgow,Scotland,Scotland
10007145,University of Gloucestershire,England,South West
10007833,Glyndŵr University,Wales,Wales
10002718,Goldsmiths College,England,London
10007146,The University of Greenwich,England,London
10007825,Guildhall School of Music and Drama,England,London
10040812,Harper Adams University,England,West Midlands
10080811,Hartpury University,England,South West
10007764,Heriot-Watt University,Scotland,Scotland
10007147,University of Hertfordshire,England,East of England
10007765,Heythrop College,England,London
10007148,The University of Huddersfield,England,Yorkshire and The Humber
10007149,The University of Hull,England,Yorkshire and The Humber
10003270,"Imperial College of Science, Technology and Medicine",England,London
10007767,Keele University,England,West Midlands
10007150,The University of Kent,England,South East
10003645,King's College London,England,London
10003678,Kingston University,England,London
10007768,The University of Lancaster,England,North West
10003854,Leeds Arts University,England,Yorkshire and The Humber
10003861,Leeds Beckett University,England,Yorkshire and The Humber
10034449,Leeds College of Music,England,Yorkshire and The Humber
10007795,The University of Leeds,England,Yorkshire and The Humber
10003863,Leeds Trinity University,England,Yorkshire and The Humber
10007796,The University of Leicester,England,East Midlands
10007151,The University of Lincoln,England,East Midlands
10003956,Liverpool Hope University,England,North West
10003957,Liverpool John Moores University,England,North West
10003945,The Liverpool Institute for Performing Arts,England,North West
10006842,The University of Liverpool,England,North West
10003958,Liverpool School of Tropical Medicine,England,North West
10007162,"University of the Arts, London",England,London
10007769,London Business School,England,London
10007797,University of London (Institutes and activities),England,London
10004048,London Metropolitan University,England,London
10004078,London South Bank University,England,London
10004063,London School of Economics and Political Science,England,London
10007771,London School of Hygiene and Tropical Medicine,England,London
10004113,Loughborough University,England,East Midlands
10004180,The Manchester Metropolitan University,England,North West
10007798,The University of Manchester,England,North West
10004351,Middlesex University,England,London
10007799,Newcastle University,England,North East
10007832,Newman University,England,West Midlands
10007138,The University of Northampton,England,East Midlands
10001282,University of Northumbria at Newcastle,England,North East
10004775,Norwich University of the Arts,England,East of England
10007154,University of Nottingham,England,East Midlands
10004797,The Nottingham Trent University,England,East Midlands
10007773,The Open University,England,South East
10004930,Oxford Brookes University,England,South East
10007774,The University of Oxford,England,South East
10005127,Plymouth College of Art,England,South West
10007801,University of Plymouth,England,South West
10007155,The University of Portsmouth,England,South East
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland
10007775,Queen Mary University of London,England,London
10005389,Ravensbourne University London,England,London
10007802,The University of Reading,England,South East
10005500,The Robert Gordon University,Scotland,Scotland
10007776,Roehampton University,England,London
10005523,Rose Bruford College of Theatre and Performance,England,London
10007835,Royal Academy of Music,England,London
10005545,Royal Agricultural University,England,South West
10007777,Royal College of Art,England,London
10007778,Royal College of Music,England,London
10005561,Royal Conservatoire of Scotland,Scotland,Scotland
10007816,The Royal Central School of Speech and Drama,England,London
10005553,Royal Holloway and Bedford New College,England,South East
10007837,Royal Northern College of Music,England,North West
10007779,The Royal Veterinary College,England,London
10007803,The University of St Andrews,Scotland,Scotland
10007782,"St George's, University of London",England,London
10008026,St Mary's University College,Northern Ireland,Northern Ireland
10007843,"St Mary's University, Twickenham",England,London
10007156,The University of Salford,England,North West
10007780,SOAS University of London,England,London
10005700,SRUC,Scotland,Scotland
10005790,Sheffield Hallam University,England,Yorkshire and The Humber
10007157,The University of Sheffield,England,Yorkshire and The Humber
10006022,Solent University,England,South East
10007158,The University of Southampton,England,South East
10006299,Staffordshire University,England,West Midlands
10007804,The University of Stirling,Scotland,Scotland
10037449,University of St Mark and St John,England,South West
10008010,Stranmillis University College,Northern Ireland,Northern Ireland
10007805,The University of Strathclyde,Scotland,Scotland
10014001,University of Suffolk,England,East of England
10007159,The University of Sunderland,England,North East
10007160,The University of Surrey,England,South East
10007806,The University of Sussex,England,South East
10007855,Swansea University,Wales,Wales
10007161,Teesside University,England,North East
10008017,Trinity Laban Conservatoire of Music and Dance,England,London
10007858,University of Wales Trinity Saint David,Wales,Wales
